Operator,Supported,Supported_Bf16,MLLib/TemplatedGraph/Psuedo_Int8/Microkernel,MLLib/TemplatedGraph/Psuedo_Bf16/Microkernel,Kernel_Name_Int8
Abs,TRUE,TRUE,MLLib,MLLib,abs1d
Acos,FALSE,FALSE,Unknown,Unknown,
Acosh,FALSE,FALSE,Unknown,Unknown,
Add,TRUE,TRUE,MLLib,MLLib,add1d
AffineGrid,FALSE,FALSE,Unknown,Unknown,
And,TRUE,FALSE,MLLib,Unknown,bitwise_and1d
ArgMax,FALSE,FALSE,MLLib,Unknown,ArgMax1d
ArgMin,FALSE,FALSE,MLLib,Unknown,ArgMin1d
Asin,FALSE,FALSE,Unknown,Unknown,
Asinh,FALSE,FALSE,Unknown,Unknown,
Atan,FALSE,FALSE,Unknown,Unknown,
Atanh,FALSE,FALSE,Unknown,Unknown,
AveragePool,TRUE,TRUE,MLLib,MLLib,AvgPool2d
BatchNormalization,TRUE,TRUE,MLLib,MLLib,"BatchNorm1d,BatchNorm2D"
Bernoulli,FALSE,FALSE,Unknown,Unknown,
BitShift,FALSE,FALSE,MLLib,Unknown,bitshift1d
BitwiseAnd,TRUE,FALSE,MLLib,Unknown,bitwise_and1d
BitwiseNot,TRUE,FALSE,MLLib,Unknown,bitwise_not1d
BitwiseOr,TRUE,FALSE,MLLib,Unknown,bitwise_or1d
BitwiseXor,TRUE,FALSE,MLLib,Unknown,bitwise_xor1d
Cast,FALSE,FALSE,MLlib,MLlib,cast1d
Ceil,TRUE,TRUE,MLLib,MLLib,ceil1d
Col2Im,FALSE,FALSE,Unknown,Unknown,
Compress,FALSE,FALSE,Unknown,Unknown,
Concat,TRUE,TRUE,Pseudo,Pseudo,
ConcatFromSequence,FALSE,FALSE,Pseudo,Pseudo,
Constant,FALSE,FALSE,Pseudo,Pseudo,
ConstantOfShape,FALSE,FALSE,Pseudo,Pseudo,.
Conv,TRUE,TRUE,MLLib,MLLib,"{""GConv"":"""",""Conv2d"":""Conv2d"",""Conv1d"":"""",""DConv1d"":""DepthwiseConv1d"",""DConv2d"":""DepthwiseConv2d""}"
ConvInteger,FALSE,FALSE,Unknown,Unknown,
ConvTranspose,FALSE,FALSE,Microkernel,MLLib,"{""Conv2DTranspose"":""Conv2DTranspose""}"
Cos,FALSE,FALSE,Unknown,Unknown,
Cosh,FALSE,FALSE,Unknown,Unknown,
CumSum,FALSE,FALSE,Pseudo,Pseudo,
DFT,FALSE,FALSE,Unknown,Unknown,
DeformConv,FALSE,FALSE,Unknown,Unknown,
DepthToSpace,TRUE,TRUE,TemplatedGraph,TemplatedGraph,
DequantizeLinear,TRUE,FALSE,MLLib,Unknown,
Det,FALSE,FALSE,Unknown,Unknown,
Div,TRUE,TRUE,MLLib,MLLib,div1d
Dropout,FALSE,FALSE,Unknown,Unknown,
Einsum,FALSE,FALSE,Unknown,Unknown,
Equal,TRUE,TRUE,MLLib,MLLib,
Erf,TRUE,TRUE,MLLib,MLLib,erf1d
Exp,FALSE,FALSE,Unknown,MLLib,
Expand,FALSE,FALSE,Unknown,Unknown,Expand
EyeLike,FALSE,FALSE,Unknown,Unknown,
Flatten,TRUE,TRUE,Pseudo,Pseudo,flatten1d
Floor,TRUE,TRUE,MLLib,MLLib,floor1d
GRU,FALSE,FALSE,Unknown,Unknown,
Gather,TRUE,TRUE,TemplatedGraph,TemplatedGraph,
GatherElements,FALSE,FALSE,Unknown,Unknown,
GatherND,FALSE,FALSE,Unknown,Unknown,
Gemm,FALSE,TRUE,Microkernel,MLLib,Gemm
GlobalAveragePool,TRUE,FALSE,MLLib,MLLib,GlobalAveragePool2d
GlobalLpPool,FALSE,FALSE,Unknown,Unknown,
GlobalMaxPool,FALSE,FALSE,MLLib,MLLib,GlobalMaxPool2d
Greater,TRUE,TRUE,MLLib,MLLib,
GridSample,FALSE,FALSE,TemplatedGraph,TemplatedGraph,
Hardmax,FALSE,FALSE,Mllib,Mllib,
Identity,TRUE,TRUE,MLLib,MLLib,
If,FALSE,FALSE,Unknown,Unknown,
ImageDecoder,FALSE,FALSE,Unknown,Unknown,
InstanceNormalization,FALSE,FALSE,Microkernel,Mllib,
IsInf,FALSE,FALSE,Unknown,Unknown,
IsNaN,FALSE,FALSE,Unknown,Unknown,
LRN,FALSE,FALSE,Unknown,Unknown,
LSTM,FALSE,FALSE,Unknown,Unknown,
Less,TRUE,TRUE,MLLib,MLLib,
Log,TRUE,TRUE,MLLib,MLLib,log1d
Loop,FALSE,FALSE,Unknown,Unknown,
LpNormalization,FALSE,FALSE,Microkernel,Unknown,
LpPool,FALSE,FALSE,Unknown,Unknown,
MatMul,FALSE,TRUE,Microkernel,MLLib,
MatMulInteger,FALSE,FALSE,Unknown,Unknown,
Max,TRUE,TRUE,MLLib,MLLib,max1d
MaxPool,TRUE,TRUE,MLLib,MLLib,Maxpool2d
MaxRoiPool,FALSE,FALSE,Unknown,Unknown,
MaxUnpool,FALSE,FALSE,Unknown,Unknown,
Mean,FALSE,FALSE,Unknown,Unknown,
MelWeightMatrix,FALSE,FALSE,Unknown,Unknown,
Min,TRUE,TRUE,MLLib,MLLib,
Mod,FALSE,FALSE,Unknown,Unknown,
Mul,TRUE,TRUE,MLLib,MLLib,"{""Mul1d"":'mul1d',""Mul2d"",'mul2d'}"
Multinomial,FALSE,FALSE,Unknown,Unknown,
Neg,TRUE,TRUE,MLLib,MLLib,neg1d
NonMaxSuppression,FALSE,FALSE,Unknown,Unknown,
NonZero,FALSE,FALSE,Unknown,Unknown,
Not,TRUE,FALSE,MLLib,Unknown,logical_not1d
OneHot,FALSE,FALSE,Unknown,Unknown,
Optional,FALSE,FALSE,Unknown,Unknown,
OptionalGetElement,FALSE,FALSE,Unknown,Unknown,
OptionalHasElement,FALSE,FALSE,Unknown,Unknown,
Or,TRUE,FALSE,MLLib,Unknown,bitwise_or1d
Pad,TRUE,TRUE,TemplatedGraph,TemplatedGraph,"{""Pad2d"":""Pad2d"",""Pad3d"",""Pad3D""}"
Pow,TRUE,TRUE,MLLib,MLLib,pow1d
QLinearConv,FALSE,FALSE,Unknown,Unknown,
QLinearMatMul,FALSE,FALSE,Unknown,Unknown,
QuantizeLinear,TRUE,FALSE,MLLib,Unknown,
RNN,FALSE,FALSE,Unknown,Unknown,
RandomNormal,FALSE,FALSE,Unknown,Unknown,
RandomNormalLike,FALSE,FALSE,Unknown,Unknown,
