Type,Operator
unary,Clip
unary,Erf
unary,Exp
unary,Floor
unary,HardSigmoid
unary,LeakyRelu
unary,Log
unary,Not
unary,Reciprocal
unary,Relu
unary,Sigmoid
unary,Sqrt
binary,And
binary,Div
binary,Greater
binary,Less
binary,Mul
binary,Pow
binary,Sub
binary,Xor
nnary,Min
reduction,ReduceMax
reduction,ReduceMin
reduction,ReduceProd
linear,MatMul
other,BatchNormalization
other,Equal
other,Identity
other,If
other,InstanceNormalization
other,Loop
other,Mod
other,NonZero
other,RoiAlign
other,TopK
confluence,Sub
confluence,Sign
confluence,Mul
confluence,Sqrt
confluence,Hardswish
confluence,Abs
confluence,Log
confluence,Neg
confluence,Clip
confluence,Floor
confluence,Min
confluence,Max
confluence,SiLU
confluence,Add
confluence,Div
confluence,Rescale
confluence,Sin
confluence,Rsqrt
confluence,SigmoidTemplated
confluence,HardSigmoidTemplated
confluence,LeakyReLU
confluence,Ceil
confluence,Mish
confluence,LogicalNot
confluence,BitwiseNot
confluence,BitwiseAnd
confluence,BitwiseOr
confluence,Relu
confluence,Reciprocal
confluence,Elu
confluence,BitwiseXor
confluence,Reductions
confluence,ReduceMin
confluence,ReduceMax
confluence,ReduceSum
mllib,Add
mllib,And
mllib,Argmin
mllib,Cast
mllib,Ceil
mllib,Clip
mllib,Depth2Space
mllib,Div
mllib,Elu
mllib,Equal
mllib,Erf
mllib,Exp
mllib,Floor
mllib,Gemm
mllib,GlobalMaxPool
mllib,Greater
mllib,GreaterOrEqual
mllib,Gstiling
mllib,Hard-Sigmoid
mllib,Hswish
mllib,Identity
mllib,Interpolate1d (Upsample)
mllib,LeakyRelu
mllib,Less
mllib,LessOrEqual
mllib,Log
mllib,MatMul
mllib,Max
mllib,MaxPool
mllib,Min
mllib,Mish
mllib,Mul
mllib,Neg
mllib,Not
mllib,Or
mllib,Padding-Constant
mllib,Padding-Symmetric
mllib,Pixel_Shuffle
mllib,Pixel_Unshuffle
mllib,Pow
mllib,Reciprocal
mllib,ReduceMax
mllib,ReduceMin
mllib,ReduceSum
mllib,Relu
mllib,Select
mllib,Sigmoid
mllib,Sign
mllib,Sin
mllib,Sqrt
mllib,STFT
mllib,Strided_Slice
mllib,Sub
mllib,Sum
mllib,TopK
mllib,Upsample-Nearest
